run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
14,C,524288,1024,4,1.0,100,100,0.2,512,2112,1600,1708,1376,404,332,524288,2162688,68320,2231008,469.8587243257469,1115.8417900026434,4748.252792797503,0.6802090683984101,0.13403141361256546
15,A,524288,1024,4,1.0,100,10,0.0,512,1628,1116,1628,1628,0,0,524288,1667072,65120,1732192,285.97958399261677,1833.305695044076,6057.047764796806,0.29397566310551804,0.15724815724815724
15,B,524288,1024,4,1.0,100,50,0.1,512,1929,1417,1747,1587,182,160,524288,1975296,69880,2045176,389.3107212131694,1346.708352562741,5253.325656244005,0.49355431072388595,0.13928182807399347
15,C,524288,1024,4,1.0,100,100,0.2,512,2070,1558,1675,1347,395,328,524288,2119680,67000,2186680,458.07363232486637,1144.5496160498806,4773.643025253206,0.6822844787338193,0.13671562082777036
16,A,524288,1024,4,1.0,100,10,0.0,512,1624,1112,1624,1624,0,0,524288,1662976,64960,1727936,284.9968563794514,1839.6273090884583,6063.000209726475,0.2872051654116668,0.15763546798029557
16,B,524288,1024,4,1.0,100,50,0.1,512,1826,1314,1652,1480,174,172,524288,1869824,66080,1935904,360.6675342705578,1453.6600890910822,5367.558252547803,0.4918440802197337,0.1472110408280621
16,C,524288,1024,4,1.0,100,100,0.2,512,2316,1804,1842,1481,474,361,524288,2371584,73680,2445264,521.7397866329351,1004.8840694774494,4686.750105412876,0.7190867317422374,0.12313612313612314
17,A,524288,1024,4,1.0,100,10,0.0,512,1583,1071,1583,1583,0,0,524288,1620992,63320,1684312,273.77573496085824,1915.0272761570982,6152.159541242055,0.2638654453124287,0.16171825647504737
17,B,524288,1024,4,1.0,100,50,0.1,512,1722,1210,1576,1408,146,168,524288,1763328,63040,1826368,334.54714692804765,1567.1572895307359,5459.22455704817,0.443162803953495,0.15524560339599758
17,C,524288,1024,4,1.0,100,100,0.2,512,2046,1534,1620,1315,426,305,524288,2095104,64800,2159904,450.0336881044731,1164.9972298924633,4799.427369754127,0.6669244498731455,0.13966175668303327
