experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
jitter,21,A,524288,1024,4,1.0,100,10,1,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.618088410431661,200256.0333375286,208078.53463977584,0.020378831779137165,0.5
jitter,21,B,524288,1024,4,1.0,100,50,1,0.1,512,732,220,664,592,68,72,524288,749568,26560,776128,70.40703278812444,7446.52883722195,11023.444239378734,0.14579501092588976,0.3667621776504298
jitter,21,C,524288,1024,4,1.0,100,100,1,0.2,512,975,463,784,623,191,161,524288,998400,31360,1029760,155.4844198165485,3371.9648606502956,6622.9143808426825,0.3218576150650054,0.2910744741330301
jitter,22,A,524288,1024,4,1.0,100,10,1,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.6141689414378972,200556.2806937874,208390.51040838848,0.020383311943894308,0.5
jitter,22,B,524288,1024,4,1.0,100,50,1,0.1,512,732,220,655,590,77,65,524288,749568,26200,775768,70.48271959131482,7438.5324947734425,11006.499245463188,0.1341611109040734,0.3691420331651045
jitter,22,C,524288,1024,4,1.0,100,100,1,0.2,512,1115,603,866,694,249,172,524288,1141760,34640,1176400,190.32436565778326,2754.7077232491984,6181.026774655069,0.3838350909855672,0.2584553255931348
jitter,23,A,524288,1024,4,1.0,100,10,1,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.6054387677312283,201228.29463251636,209088.77489159905,0.020267652980972106,0.5
jitter,23,B,524288,1024,4,1.0,100,50,1,0.1,512,768,256,681,627,87,54,524288,786432,27240,813672,79.91088645300441,6560.908322651805,10182.242196481207,0.1358841230209961,0.3533471359558316
jitter,23,C,524288,1024,4,1.0,100,100,1,0.2,512,985,473,777,614,208,163,524288,1008640,31080,1039720,155.1292031589997,3379.686025091168,6702.284152999477,0.3527472580773862,0.2905788876276958
jitter,24,A,524288,1024,4,1.0,100,10,1,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5927974433603023,202209.39408229102,210108.1985386305,0.020213210065193152,0.5
