experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
file_size_curve,16,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2048,1024,1655,1336,393,319,1048576,2097152,66200,2163352,329.80000000000206,3179.4299575500104,6559.587628865938,0.3489520958083894,0.2765325411828247
file_size_curve,17,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,17,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1476,452,1334,1215,142,119,1048576,1511424,53360,1564784,143.49999999999983,7307.149825783981,10904.418118466912,0.14205761316872356,0.3644128113879004
file_size_curve,17,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2001,977,1606,1297,395,309,1048576,2049024,64240,2113264,318.80000000000115,3289.1342534504274,6628.808030112899,0.3341557440246758,0.28389243138342113
file_size_curve,18,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,18,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1480,456,1332,1196,148,136,1048576,1515520,53280,1568800,144.5999999999997,7251.562932226847,10849.239280774573,0.1291806020066879,0.36415362731152207
file_size_curve,18,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2064,1040,1642,1333,422,309,1048576,2113536,65680,2179216,335.00000000000165,3130.077611940283,6505.12238805967,0.35168792198050147,0.2763086886130599
file_size_curve,19,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,19,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1508,484,1352,1204,156,148,1048576,1544192,54080,1598272,154.00000000000057,6808.93506493504,10378.389610389571,0.1505813953488384,0.35804195804195804
file_size_curve,19,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2032,1008,1618,1282,414,336,1048576,2080768,64720,2145488,325.20000000000084,3224.403444034432,6597.441574415727,0.3385335413416574,0.28054794520547943
file_size_curve,20,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,20,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1428,404,1307,1175,121,132,1048576,1462272,52280,1514552,131.29999999999916,7986.108149276517,11535.04950495057,0.1406808510638263,0.3744058500914077
file_size_curve,20,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2037,1013,1630,1291,407,339,1048576,2085888,65200,2151088,327.2000000000007,3204.6943765281103,6574.229828850841,0.3510457010069755,0.27924734115080446
file_size_curve,21,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,21,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1492,468,1337,1211,155,126,1048576,1527808,53480,1581288,148.20000000000005,7075.411605937919,10669.959514170037,0.13674649050371573,0.36196535878402264
file_size_curve,21,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2033,1009,1627,1320,406,307,1048576,2081792,65080,2146872,324.8000000000008,3228.374384236445,6609.82758620688,0.3329787234042593,0.2797814207650273
file_size_curve,22,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,22,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1524,500,1371,1250,153,121,1048576,1560576,54840,1615416,155.70000000000033,6734.59216441874,10375.18304431597,0.14664000000000094,0.353713298791019
file_size_curve,22,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2088,1064,1667,1313,421,354,1048576,2138112,66680,2204792,340.2000000000021,3082.233980011739,6480.870076425592,0.35658796648896307,0.27270306258322236
file_size_curve,23,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,23,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1525,501,1354,1215,171,139,1048576,1561600,54160,1615760,157.60000000000016,6653.401015228419,10252.28426395938,0.13851851851851923,0.35567905522750953
file_size_curve,23,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2072,1048,1645,1328,427,317,1048576,2121728,65800,2187528,335.0000000000022,3130.0776119402776,6529.934328358166,0.33885542168675425,0.2754909873553941
file_size_curve,24,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,24,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1467,443,1326,1182,141,144,1048576,1502208,53040,1555248,141.69999999999953,7399.971771347942,10975.638673253388,0.14695431472081041,0.3666308628714644
file_size_curve,24,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,1983,959,1605,1274,378,331,1048576,2030592,64200,2094792,316.2000000000011,3316.179633143568,6624.895635673601,0.32417582417582663,0.2853957636566332
file_size_curve,25,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,25,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1480,456,1329,1195,151,134,1048576,1515520,53160,1568680,144.6999999999998,7246.551485832768,10840.912232204577,0.1405857740585766,0.3645425418298327
file_size_curve,25,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2194,1170,1708,1379,486,329,1048576,2246656,68320,2314976,368.20000000000374,2847.843563280797,6287.278652905966,0.33865119651922937,0.26242952332137365
file_size_curve,26,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,26,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1488,464,1335,1203,153,132,1048576,1523712,53400,1577112,146.79999999999933,7142.888283378779,10743.269754768442,0.15128844555278267,0.36273467941905774
file_size_curve,26,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2008,984,1616,1271,392,345,1048576,2056192,64640,2120832,320.6000000000005,3270.6674984404194,6615.196506550208,0.34067663257278,0.282560706401766
file_size_curve,27,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,27,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1404,380,1275,1146,129,129,1048576,1437696,51000,1488696,125.3999999999988,8361.850079744896,11871.578947368535,0.1452006980802747,0.3822321761851437
file_size_curve,27,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2058,1034,1634,1319,424,315,1048576,2107392,65360,2172752,333.80000000000155,3141.3301378070555,6509.143199520641,0.3340409401061447,0.27735644637053086
file_size_curve,28,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,28,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1480,456,1331,1192,149,139,1048576,1515520,53240,1568760,144.89999999999952,7236.549344375455,10826.501035196723,0.14337248322147483,0.36428317324795445
file_size_curve,28,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2054,1030,1650,1330,404,320,1048576,2103296,66000,2169296,330.8000000000013,3169.8186215235664,6557.726723095499,0.36448457486832675,0.27645788336933047
file_size_curve,29,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,29,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1436,412,1303,1178,133,125,1048576,1470464,52120,1522584,133.69999999999916,7842.752430815307,11388.062827225202,0.1305602716468557,0.3738590726542534
file_size_curve,29,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2128,1104,1688,1322,440,366,1048576,2179072,67520,2246592,351.0000000000022,2987.3960113959924,6400.547008546968,0.3694402420574965,0.26834381551362685
file_size_curve,30,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,30,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1532,508,1355,1227,177,128,1048576,1568768,54200,1622968,157.8000000000005,6644.968314321905,10284.968314321894,0.15672371638141977,0.3546934534118462
file_size_curve,30,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,1948,924,1586,1252,362,334,1048576,1994752,63440,2058192,302.80000000000047,3462.932628797881,6797.199471598405,0.34824281150159797,0.289756649688738
file_size_curve,1,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,1,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7330,2210,6621,5951,709,670,5242880,7505920,264840,7770760,705.6999999999753,7429.3325775828025,11011.421283832042,0.14310199966390505,0.3669987814493585
file_size_curve,1,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10295,5175,8240,6609,2055,1631,5242880,10542080,329600,10871680,1667.3999999999064,3144.3444884252694,6520.139138779303,0.35012861249804395,0.2762341516050715
